"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"157","DallicanWater.Bennett.1992","lcRYN4y5FCQn0BuDu6s","50","621","","","","",""
"158","Dantecave.Sletten.2013","S2LRNNRQiP9T5J","253","470","","","","",""
"159","Dantecave.Sletten.2013","S2LRU08Wwzef9a","253","470","","","","",""
"160","DaQaidam.Qi.1981","OLS_RnNx75wT6Qd","506","186","","","","",""
"161","Darkcave.Jiang.2013","S2LR1X4Pheb1ZE","666","","","","","",""
"162","Darko.Rolecek.2020","lcRPtpeHk3QmKrusMf8","546","621","","","","",""
"163","DavisPond.Newby.2011","pdRQCNa1fNSbgmaYC9D","483","152","","","","",""
"164","Deep.Marsicek.2013","NAm2kHydro215","294","","","","","",""
"165","DeepFalmouthPond.Oswald.2018","lcRlZG93oUnsBEDKSaM","639","621","","","","",""
"166","DeepPondFalmouth.Marsicek.2013","pdRkllG1u6H84pPNEn8","294","152","","","","",""
"167","DeepTauntonPond.Oswald.2018","lcRgG0nqmKpMbG6TnGY","639","621","","","","",""
"168","Delingha.Yang.2021","WEBe297c3e8","36","","","","","",""
"169","Delorme2.Richard.1982","lcRICjQTzvniz5Xlx4q","503","621","","","","",""
"170","Dendi.Jaeschke.2020","WEB-e04d6-7807-41df-9459-dafd8","17","","","","","",""
"171","DeSotocaverns.Aharon.2013","S2LRaRacqzp90y","489","","","","","",""
"172","DevilsBathtub.Clark.1996","lcRDYi20GlO0AonbO2J","286","621","","","","",""
"173","Didwana.Singh.1972","OLS_R4YTlXp5Scl","231","186","","","","",""
"174","Disbeliefcave.Lorrey.2008","S2LRe4xCSSTpUK","20","","","","","",""
"175","DiversLake.Miller.2003","lcRkBG2IjDkwtqKcx6y","442","621","","","","",""
"176","DobiHanle.Fontes.1973","OLS_RcDGJfqpBeC","196","186","","","","",""
"177","Doel.Deforce.2011","lcRf6K3Ujfi8s5aGQ2k","157","621","","","","",""
"178","DolgoeLake.Wolfe.2000","PYTNDP0RV0M","70","235","","","","",""
"179","DolgoeLake.Wolfe.2000","PYTISXSSSBC","70","235","","","","",""
"180","DomeF.Uemura.2018","WEBc6552302","184","516","201","33","471","",""
"181","Domsvatnet.Hyvarinen.1976","lcRnIxD1N0tJmJywI9G","258","621","","","","",""
"182","Donggecave.Yuan.2004","S2LRbPwlTL981A","147","239","238","689","85","",""
"183","Donggecave.Yuan.2004","S2LRRAIihHA4uf","147","239","238","689","85","",""
"184","DonggiCona.Wang.2014","WEBbf48ea2b","188","","","","","",""
"185","Donvold.Nilssen.1983Legacy","lcRnH3jf8tH4ClLnO43","466","621","","","","",""
"186","DosAnascave.Fensterer.2013","S2LR6km5mqhjli","121","120","86","","","",""
"187","DossaccioBormio.vanderKnaap.1997","lcR9AhAppvA2OXgJvAi","700","621","","","","",""
"188","DP30PC.Goudeau.2014","WEB11f584ef","411","","","","","",""
"189","DragonflyLake.Edwards.2015","lcRZoZg8mFwmuOuhnO7","416","621","","","","",""
"190","Duck.Winkler.1982","OLS_RSzZCo2C7Xj","658","186","","","","",""
"191","DuncanLake.Shuman.2016","pdRiNPVIQECAx9xVLKu","80","152","","","","",""
"192","Dune.Finney.2012","GHe9193cd5dp","79","","","","","",""
"193","DuneLake.Bigelow.1997","lcRXeYKFhQZcl9FryEQ","52","621","","","","",""
"194","DuneLake.Bigelow.1997PaleoDIVER","pdRH7DEiyfovpTWk9ZN","52","152","","","","",""
"195","DvurAnsov.Svobodova.1992","lcR1bQbrAuTWjAjkdSV","595","621","","","","",""
"196","Eagle.Bradbury.1986b","OLS_RmAdBHcBBxv","273","186","","","","",""
"197","EggenobBlatten.vanderKnaap.1997","lcRouwX4QfecNxAemPx","700","621","","","","",""
"198","Eilandvlei.Wuendsch.2018","WEB5aca062f","440","","","","","",""
"199","ElCondorcave.Cheng.2013","S2LRLfv6iCnPNE","236","","","","","",""
"200","ElCondorcave.Cheng.2013","S2LRcMafCoSS3V","236","","","","","",""
"201","ElGobernador.Meleif.1985","OLS_R91mklW7AkS","430","186","","","","",""
"202","ElJunco.Colinvaux.1972","OLS_RGysUHCqwty","481","186","","","","",""
"203","ElJunco.Zhang.2014","LS14ZHJU01A","694","","","","","",""
"204","ElMaillomire.MoralesMolino.2013","lcRYHQZme5i2N0fBzz0","451","621","","","","",""
"205","Elsinore.Kirby.2019","WEBc66a4fba","423","","","","","",""
"206","Elsinore.Kirby.2019","WEBa4950857","423","","","","","",""
"207","ElSoplaocave.Rossi.2018","S2LRIixYo5wDj1","100","","","","","",""
"208","Embouchac.Puertas.1997","lcRhScBDOfWzXEnwp1A","504","621","","","","",""
"209","EmeraldLakeLeadville.Shuman.2014","pdRfvT1wuHIGXRlmUju","32","152","","","","",""
"210","EnneriBardague.Bottcher.1972","OLS_RphnQDokp38","61","186","","","","",""
"211","EnosLake.Brown.2006","WEB10ea8a20","335","","","","","",""
"212","EPICADomeC.Stenni.2010","WEBdb3dc48a","34","38","185","","","",""
"213","EtangdyCorMontana.vanderKnaap.1997","lcRR7x41VDYDCPUJV8T","700","621","","","","",""
"214","Euramoo.Kershaw.1970","OLS_Rr8es7LpU7s","3","186","","","","",""
"215","Fachi.Faure.1966","OLS_RKoQn911SXJ","159","186","","","","",""
"216","Felchowsee.Jahns.2000","lcRpbhIeSqLqRxKnBNF","280","621","","","","",""
"217","FelkerLake.Galloway.2011","WEB30fe1262","292","","","","","",""
"218","Fiskebolvatnet.Balascio.2012","GH340eae2e","461","","","","","",""
"219","FlowerValley.Balascio.2013","GH2d478757dp","460","","","","","",""
"220","FortRock.Bedwell.1970","OLS_RHt0P2iCpt5","22","186","","","","",""
"221","FoundLake.McAndrews.1981","lcRSMVjlC246WXbuLnK","428","621","","","","",""
"222","FoyLake.Stone.2008","GH96f3a962","291","","","","","",""
"223","Frechencourt.vanZeist.1980","lcRKKBJ6j334zCND9v4","699","621","","","","",""
"224","Frome.Bowler.1986","OLS_RTxbwsdvMwm","93","186","","","","",""
"225","Fukugaguchicave.Sone.2013","S2LRjzNSFesB0T","618","","","","","",""
"226","Furongcave.T.-Y..2011","S2LR0spuNC2W1u","616","255","","","","",""
"227","GallanechBeg.Davies.1997","lcRQz7vdye6CXMQO3SI","155","621","","","","",""
"228","GC2.Lamy.2010","WEB843e2ae7","415","","","","","",""
"229","Gempabumicave.Krause.2019","S2LRaXy9OgKMGE","117","","","","","",""
"230","GeoB10065-7.Steinke.2014","WEB-49aac-c148-4e76-809a-362e4","587","","","","","",""
"231","GeoB16204-2.Chiessi.2022","WEB-84c26-cf61-4730-a2fb-5101f","90","","","","","",""
"232","GeoB20610-2.Miller.2020","WEB8ffb0dbb","107","","","","","",""
"233","GeoB3910.Jaeschke.2007","WEB8a35bba5","16","","","","","",""
"234","GeoB4905.Weldeab.2005","WEB45411107","598","282","","","","",""
"235","GeoB5804-4.Arz.2003","WEB21852084","250","","","","","",""
"236","GeoB6518.Schefuss.2005","WEB2ba16237","180","310","","","","",""
"237","GeoB7702-3.Castaneda.2016","LPD17ad91b2","263","","","","","",""
"238","GeoB7702-3.Castaneda.2016","LPD277e0621","263","","","","","",""
"239","GeoB7702-3.Castaneda.2016","WEB279cd5b2","263","","","","","",""
"240","GeoB7920-2.Collins.2013","WEB20f89efc","265","538","","","","",""
"241","GeoB8331_4","WEB594c5634","463","","","","","",""
"242","GeoB9307_3.Weldeab.2014","WEBf23684ea","597","179","","","","",""
"243","George.Coventry.1976","OLS_RfoenkHHXTE","276","186","","","","",""
"244","George.Hutchinson.1981","OLS_Ree2SxMXXUS","140","186","","","","",""
"245","GerryLake.Gavin.2009","lcRg0FX7kDsVlxAdcdh","143","621","","","","",""
"246","GIK16163-2.Ma.2021","WEBb00c1138","690","","","","","",""
"247","GIK16166-2.Ma.2021","WEB19b9d003","690","","","","","",""
"248","GladkoyeBog.Anderson.2002","lcRTqdPXHtWaFMq3hMc","15","621","","","","",""
"249","Gnotuk.Barton.1980","OLS_RSllKp5JECx","43","186","","","","",""
"250","GoatLake.Anderson.2017","lcRQ9mDBHfr9XBLQbUd","508","621","","","","",""
"251","Golhisar.Eastwood.2007","WEB488f78ac","646","455","","","","",""
"252","Gomishan.Leroy.2013","lcRfkhpLwl5zDhzsObe","369","621","","","","",""
"253","Gonghai.Ding.2017","WEBbc36fb7b","648","","","","","",""
"254","GooseBayMarsh.Rippke.2010","lcRlao41kuFDZ74153k","449","621","","","","",""
"255","GouldPond.JacobsonJr.1987","lcRpmbA744mctx0iYnT","278","621","","","","",""
"256","GrachenSee.vanderKnaap.1997","lcRQNnJ7W7IKng8MaOe","651","621","","","","",""
"257","GrahamLake.Fuller.1995","lcRCyUpvGwoKyOEvQkq","203","621","","","","",""
"258","GrandeBriere.Visset.1979Legacy","lcRmOmrZ1GmmblFM6W3","635","621","","","","",""
"259","GrantsBog.Lacourse.2019","lcR811cfIlc7gPTWct5","604","621","","","","",""
"260","Grasvatn.Moe.1996","lcRaZI95pzisAqfMKRi","447","621","","","","",""
"261","GraysLake.Beiswenger.1987","lcR89DqINtE3c8u2oBa","48","621","","","","",""
"262","GreyIslands.Evans.2002","lcRquihWeSVoCRQXYyT","182","621","","","","",""
"263","GRIP_accumulation.Vinther.2006","GHd57f7596","31","","","","","",""
"264","GrosserKrebssee.Jahns.1999","lcRCOiuJmrTNYijSm8z","279","621","","","","",""
"265","GrottedePiste.AitBrahim.2018","S2LRUj7txiX4BK","685","672","","","","",""
"266","Gunnarsfjorden.Allen.2007","PYTU06V9X6E","324","235","","","","",""
"267","Gunnarsfjorden.Allen.2007","WEBf55e2a4d","324","235","","","","",""
"268","Gunnarsfjorden.Allen.2007","WEB09437cc2","324","235","","","","",""
"269","GunNuur.Chen.2008","GHa7a4074f","189","","","","","",""
"270","Gunung-budacavesnailshellcave.Partin.2007","S2LRvbxKcEircj","323","302","349","322","301","",""
"271","Gur.Mokhova.2009","lcRGzeoFV49AbtHJxKb","448","621","","","","",""
"272","GytgykaiLake.Anderson.2002","lcRy7IhuBaQ6uF11NxS","15","621","","","","",""
"273","HailLake.Cwynar.1995","lcRzxniarU5TTRDhKkh","371","621","","","","",""
"274","HaircutLake.Edwards.2015","lcRjEweSTJryZAYGb1l","416","621","","","","",""
"275","HalosI.Bottema.1988","lcR9Wrg5WflyKPDn0gq","62","621","","","","",""
"276","HamsLake.Bennett.1987","lcREzhF3Ls6YkH3b9dK","331","621","","","","",""
"277","Harding.Finkenbinder.2014","WEB6b4c459e","424","","","","","",""
"278","Harding.Finkenbinder.2014","WEBccba2853","424","","","","","",""
"279","HealLake.Brown.2006","WEB7ec5f35f","335","","","","","",""
"280","HeartLake.Whitehead.1990","lcRQfIlOAnlXiGk0QCz","655","621","","","","",""
"281","Heifeng.Yang.2019","WEBc755bc5d","670","","","","","",""
"282","Heihai.Ramisch.2016","WEB9c6bb823","25","","","","","",""
"283","HermitLake.Anderson.2018Legacy","lcRXLkyFOBBg5jAZeV9","513","621","","","","",""
"284","Heshang.Zhu.2017","WEB920c3f3a","696","","","","","",""
"285","Heshangcave.C..2008","S2LR984dImqQzT","106","671","","","","",""
"286","HeshangCave.Wang.2018","WEB7baf4af4","96","","","","","",""
"287","Hidden.Tang.1999","WEBe3940424","188","","","","","",""
"288","HiddenLake.Shuman.2009","pdR7ZhOvHhlSIltqdXY","82","152","","","","",""
"289","HighLake.Fuller.1995","lcRS0efHRT1BJR9ikbT","203","621","","","","",""
"290","HodellMiragoane1991","LPDfdd2a0239","149","","","","","",""
"291","Hollywoodcave.Whittaker.2011","S2LR508v90zCF5","610","480","","","","",""
"292","Hongyuan.Yu.2006","GH28d0af42","669","","","","","",""
"293","Hook.Winkler.1985c","OLS_RpZvDDmAq2c","659","186","","","","",""
"294","Hopschensee.vanderKnaap.1997","lcRP11grEDTPmBg8KEk","701","621","","","","",""
"295","Hoqcave.VanRampelbergh.2013","S2LRAwkFTDejje","427","","","","","",""
"296","Hoqcave.VanRampelbergh.2013","S2LRYaQyDMwILZ","427","","","","","",""
"297","Hoqcave.VanRampelbergh.2013","S2LRDg1jlgbIn8","427","","","","","",""
"298","Hoqcave.VanRampelbergh.2013","S2LRpSzKt5ew3h","427","","","","","",""
