"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"336","KNR195_5_CDH26.Bova.2015","T2L_KNR195_5_CDH26_uk37_SST_from_uk37",-81.3087,-3.986,"NWS","alkenone",10624.45,82.6399999999994,83.5149999999994,"annual","T","Temp12k"
"337","KoeycegizGoelue.EPD","RCzaVnPuDWU",28.64,36.88,"MED","pollen",5437.34,92.0600000000004,92.0700000000001,"annual","T","Temp12k"
"338","Komosomolskaia.Ciais.1992","WEB3b80ddb0",97.4833,-74.083,"EAN","isotope",11988.9,17.0849999999991,17.0900000000001,"annual","T","Temp12k"
"339","Koucha.Herzschuh.2009","RyQ74Z7GxTJ",97.2,34,"TIB","pollen",11980.6428571429,171,162.39230769231,"summerOnly","T","Temp12k"
"340","KP2.Seppa.2009","PYTRUXBRWZ0",35.32,68.8,"NEU","pollen",8997,148,150,"summerOnly","T","Temp12k"
"341","KR02Chironomid.Fortin.2010","RGx72to7BAg",-113.78,71.34,"NWN","chironomid",10084.97,88.1099999999997,88.1099999999997,"summerOnly","T","Temp12k"
"342","KR02Pollen.Peros.2008","R1jYCQVBlaV",-113.78,71.34,"NWN","pollen",10078.50125,160.45,160.45,"summerOnly","T","Temp12k"
"343","KT05_7_PC_02.Kawahata.2009","RWShShxDbGs_SST_from_Uk37",140.7667,41,"EAS","alkenone",9205,100,100,"summerOnly","T","Temp12k"
"344","Kurupa.Boldt.2015","NAm2kHydro240",-154.61,68.35,"NWN","biophysical",5592.849,2.82899999999995,2.82899999999995,"summerOnly","T","Temp12k"
"345","Kusawa.Chakraborty.2010","PYT8QV5B55C",-136.182,60.275,"NWN","biophysical",11875.16,86.6800000000003,86.6800000000003,"summerOnly","T","Temp12k"
"346","KY07_04_PC1.Kubota.2010","T2L_KY07_04_PC1_mgca_ruber_SST_from_mgca_ruber",128.95,31.63,"EAS","Mg/Ca",11934,80,80,"annual","T","Temp12k"
"347","Kyutyunda.Biskaborn.2016","RvoC7ZDCwNh",123.6481,69.6285,"RAR","pollen",11834.0316,318.5878,316.5756,"summerOnly","T","Temp12k"
"348","KZAI_01.Hardy.2018","RYyDb1URhtN",11.23,-5.7,"CAF","other microfossil",10379,152,145,"annual","T","Temp12k"
"349","LacAurelie.Bajolle.2018","RiOWDR3HWB7",-74.2297,50.42,"NEN","chironomid",8261.259,47.0849999999996,47.0299999999997,"summerOnly","T","Temp12k"
"350","LacColin.Mott.1977","M2L1vo2cyx4P",-70.3,46.72,"ENA","pollen",10733,275,275,"annual","T","Temp12k"
"351","LacduSommet.Hausmann.2011","RaVpoBekUwg",-70.6667,47.7167,"ENA","chironomid",9475,74,75,"summerOnly","T","Temp12k"
"352","LacFaribault.Larouche.1981","M2Ly0wxhoe3P",-71.72,58.87,"NEN","pollen",3950,155.5,164,"annual","T","Temp12k"
"353","LacGras.King.1986","M2Lpztrlwi8P",-67.07,52.25,"NEN","pollen",7108,261,261,"annual","T","Temp12k"
"354","LacLeonard.Labelle.1984","M2L58bvkgafP",-65.81,49.21,"ENA","pollen",9268,292,292,"annual","T","Temp12k"
"355","LacMartyne.McAndrews.NA","M2L5ds3b810P",-64.83,56.78,"NEN","pollen",6752,273,273,"annual","T","Temp12k"
"356","LacMeleze.MacDonald.1987","M2Lzztaq4rxP",-126.12,65.22,"NWN","pollen",10322,204,204,"annual","T","Temp12k"
"357","LacPatricia.McAndrews.1983","M2Lueezxtn4P",-64.68,56.67,"NEN","pollen",5469,142,142,"annual","T","Temp12k"
"358","LacPetel.King.1986","M2LzelduliwP",-66.27,50.55,"NEN","pollen",8355,273,273,"annual","T","Temp12k"
"359","Ladd.Shane.1993","M2Lvbzbn35sP",-84.75,41.42,"ENA","pollen",10803.7,205.7,207.900000000001,"annual","T","Temp12k"
"360","LagodeAjo.Allen.1996","RnvZu677M4a",-6.15,43.05,"MED","pollen",10922.44,128.37,128.37,"annual","T","Temp12k"
"361","LagoDellAccesa.Finsinger.2010","LPD6e0eacd1",10.8972,42.9888,"MED","pollen",7073,73,74,"winterOnly","T","Temp12k"
"362","LagoMoreno.Markgraf.2002","R7eBhCUMOfI",-71.5167,-41.0583,"SWS","pollen",9581,413,410.5,"annual","T","Temp12k"
"363","LagoVerdarolo.Samartin.2011","LPD91355717",10.12,44.36,"MED","chironomid",11955.191,258,254,"summerOnly","T","Temp12k"
"364","LagunaChaplin.Punyasena.2008","RhOOuR9AepG",-61.0667,-14.4667,"SAM","pollen",10303,256,271,"annual","T","Temp12k"
"365","LagunaSaladaChiprana.EPD","Ry6Y07LUJSe",-0.17,41.23,"MED","pollen",7371.89,167.43,167.43,"annual","T","Temp12k"
