,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
97,BaiyangdianLakeGY.Guang.2000,lcRqwENfRcTDB3gkqFg,9520,470,1,8110,0.072,0.69,98.82,FALSE,lcRqvQ17roHTtXmKMb7
98,Bajiaotian.Li.1993,lcRHSWvHReVcCWfXuZ7,10070,345,6,2520,0.34,0.31,118.78,FALSE,lcR9SzQfgIzlwoK5LKW
99,Bakaly.Beer.2008,lcRKi1dhBq6WuciB6US,6920,70,5,3110,0.035,0.53,57.9,TRUE,lcRaGX1SoGEvkOoViij
100,BakalyLake.Beer.2008,lcRzBWrjAacKLzb0wy5,0,0,6,2920,0.093,0.53,40.55,FALSE,lcRv3WgW6kSfnlP9pnx
101,BakerLake.BrunelleDaines.2002,lcRIJJTAJAV3vBaUlq8,11820,380,13,2060,0.775,0.45,125.25,FALSE,lcR1AuQpifKjWBE6IaE
102,Balladrum.Hofstetter.2006,lcRXKP89kmo0RuokpTr,11880,150,4,5850,0.036,0.28,167.81,FALSE,lcRomxL2SeYKF0XLFtW
103,BallinloghigLake.Barnosky.1988,lcR7yRJ3cDT9TuqgAEB,10600,160,8,5160,0.817,0.49,267.07,FALSE,lcRvt54hd3OeOdIhdWg
104,BallstonLake.Toney.2003,lcRWc1YujSFNtYxLCw4,10060,170,4,5000,0.035,0.59,106.5,FALSE,lcRwHSU4n0eHSb7gnpU
105,Ballybetagh.Cwynar.1989,lcRqjFm3clcW9MfJAqz,830,100,2,470,0.562,0.37,227.73,FALSE,lcRKLdkNCAwRKV6VywH
106,Ballyduff.Stefanini.2008,lcRd0oxR5IFR6Ki9zwR,4750,20,39,620,0.574,0.32,178.12,FALSE,lcRXQE0rUeQRVypb6Kd
107,Ballynahattybog.Plunkett.2008,lcRHL0jBR1sutOV76KC,8870,75,7,2550,0.427,0.31,172.25,FALSE,lcRfFKE3EZMUnj5poRP
108,BalsamLake.Ibe.1982,lcRFDHxasJoA6dwZafe,11900,115,5,4070,0.092,0.54,120.32,FALSE,lcRI9V1WbbbP21YgrKG
109,BanksIsland74MS11.Gajewski.2000,lcREHVIwBQMBSRLQVER,12000,200,3,6730,0.296,0.43,52.1,FALSE,lcR4ucv8BoZFfZ1nh6K
110,BanksIsland74MS12.Gajewski.2000,lcRpah6mMrWXyarTQli,11740,410,3,4360,0.805,0.2,32.29,FALSE,lcRgQMq6dK9nWmTfOYU
111,BanksIsland74MS15.Gajewski.2000,lcRCUBUQ9gXhdkRhGke,11820,220,4,4570,0.669,0.28,39.3,FALSE,lcRF5peNzZcLCvr834l
112,BarbarinaTumsa.Andreev.2004,lcRpBIoiKE4mIH3Mtdb,6300,240,4,3020,0.166,0.19,47.21,FALSE,lcRIYgWhs4fY1gyY908
113,BarchampeLake.author.1111,lcRbS4khOejKqjLvixd,8460,50,2,7160,0.042,0.58,130.43,FALSE,lcRPzTHaqHnGH4PChCj
114,BarrettLake.Anderson.1987,lcRDjuiFvJTzaz5Zd0a,12050,410,4,4540,0.015,0.53,183.15,FALSE,lcRiIF5NZfQYG8Tg0N5
115,BaseballBog.author.1111,lcRGM8vMGPRqqHUQ1iw,11720,325,2,7330,0.708,0.42,69.69,FALSE,lcRrXmetDwE28sdzTsy
116,BasseVille.Voeltzel.1987,lcR2JND4DbUzcTwrMUA,8630,70,5,2270,0.67,0.45,173.46,FALSE,lcRYpt5EstVxMMmfLPh
117,BassLake.UmbanhowarJr.2004,lcRuLqz67nKH5xq4VhC,1010,60,4,430,0.926,0.24,47.38,FALSE,lcRmtL6lAUec05AtYrT
118,BassPond.Bell.2005,lcRf6HyUqB5xpC203UC,9310,280,6,4780,0.103,0.34,104.54,FALSE,lcR4wPoGaOS5gKorAIH
119,BasswoodRoadLakeSplanPond.Levesque.1993,lcR19MZR8Z10Mo0gGNA,11820,200,4,3250,0.046,0.59,111,FALSE,lcRDhWVCff8XwZfIxxe
120,BasswoodRoadLakeSplanPond.Levesque.1993,lcR8KEDaSON2Jq7coab,1070,80,2,1720,0.066,0.48,80.14,FALSE,lcRNtogGJQPYVegHTzk
121,BatesMarsh.Finkelstein.2005,lcR8kWDrZca9B4ShfIE,4970,160,5,1620,0.409,0.57,71.13,FALSE,lcRoAYFmJgSUBrCb63j
122,BattleGroundLake.Barnosky.1983,lcRM5YQeikjGgODpYRD,11890,250,6,3160,0.001,0.63,277.64,TRUE,lcRAMNukRlx6NZYtYgY
123,BayanchaganLakeBY.Jiang.2006,lcRrnLoUTd7IMmW7hE5,11480,175,7,3010,0.026,0.69,104.79,TRUE,lcRzi7ap0virK08RbfO
124,BayofBiscay.SanchezGoni.2008,lcRcxYbkzIvAtBISJtW,0,0,0,0,NA,0.29,187.42,FALSE,lcRGHbpq23PwZoFBCrY
125,BazelSluis.Deforce.2014,lcRdwPH80TPbvlwrrBC,1480,70,4,1260,0.646,0.2,89.02,FALSE,lcRI9ZVYmCNpFVrPehS
126,BazelSluis.Deforce.2014,lcRPOBby4t84BoR6IGY,220,20,3,150,0.032,0.29,60.73,FALSE,lcRSbzZPG9zDe9Ztkpw
127,BearBog.Gordon.1992,lcRByGSgjkAmoS0ZQ3h,6290,230,3,3530,0.894,0.4,68.91,FALSE,lcRIgIC9tDjcukDDVk0
128,BearLake.Weng.1999,lcRJXdfa0iUfSS4PFD1,11580,230,3,4080,0.21,0.37,102.04,FALSE,lcRijwwthz2sn1LxFsY
129,BeautyLake.Spaulding.2019,lcREau1G1veYC7zTHbi,11960,300,25,6730,0.784,0.39,93.74,FALSE,lcRBbQ7JtcgqoLDUz1b
130,BeaverhouseLake.Ritchie.1976,lcRQU0Aryshgc2gns5L,11130,210,4,3540,0.543,0.42,114.73,FALSE,lcRI0uduNeZ3WNvRuxh
131,BeaverhouseLake.Rivers.1999,lcROtMDEQsOa6CKzEBo,6180,100,7,1640,0.016,0.48,70.19,TRUE,lcRENFW6YSrzusy6FoH
132,BeaverLake.Calcote.2003,lcRhapwgU8yMeacBLgK,5790,90,4,2410,0.064,0.46,72.09,TRUE,lcRFoAQ6W9RD25OjKFw
133,BebrukasLake.Kabailiene.1986,lcRuTlqjPrHd2xH329d,11530,280,12,3150,0.005,0.28,100.37,TRUE,lcRo7HkNm6IG2cvKVda
134,BebrukasLake.Kabailiene.1986,lcRYFM1oW2BMerncgWT,11610,290,12,3150,0.003,0.28,100.37,TRUE,lcRFuDico4U64naBgnI
135,BebrukasLake.Kabailiene.1986,lcR7JrQa2JW0MEcIlwG,11550,280,12,3150,0.006,0.28,100.37,TRUE,lcRu6oIGLilkrQjnYBo
136,BechanCave.Davis.1990,lcRaXyAFb2tX6QsZHrC,10880,400,2,4900,0.001,0.42,103.75,FALSE,lcReXZVjye0QuA4kVdO
137,Beckton.Batchelor.2009,lcRoezMOAPZKeVrDeXI,6480,150,5,3040,0.347,0.31,132.44,FALSE,lcR7jiMHe2ak3rRgr4o
138,BeefPasture.Petersen.1988,lcR0cRPlgXyK2OEbLTD,6040,30,10,1360,0.2,0.62,117.91,FALSE,lcRkUmbducGfD20ZdvQ
139,BeefPasture.Wright.2012,lcRV1dCcWcqnaT2dkzI,2090,30,16,340,0.786,0.21,86.65,FALSE,lcRqPQ5ZVRSF1l95XJb
140,BegbieLake.Brown.2019,lcRfmVxd7PePxotBtxX,11960,200,17,2220,0.001,0.64,322.91,TRUE,lcRsTyUAai53hUNPlJD
141,Beidawan.Xia.1988,lcRSPx91XHKjQkzUQ0Y,5690,480,3,3880,0.242,0.56,66.87,FALSE,lcReeeWp8UA4v5iGA0E
142,BeihaiGK10.Li.1996,lcRF2eTESmjy3XDiPsg,10080,290,3,4750,0.709,0.33,115.32,FALSE,lcR7CIj4vrl90Nrzo0b
143,BelayaSkalaExposure.Anderson.2002,lcRaDf0iYIGD1DmV0Px,6650,290,3,4630,0.209,0.5,75.67,FALSE,lcRhm4Q8Cab4LBsUkil
144,BelecLakeBog.Glaser.2004,lcRrSvm898NOb0JseZX,4320,190,7,1010,0.769,0.65,99.72,FALSE,lcRY4N3opHgO0Fgq6bc
145,BeliyaKanton.Lazarova.2011,lcR8XYXqZlV2QRsmZZH,11950,345,5,6500,0.714,0.34,120.48,FALSE,lcRqSP4Ed08HLkpj0gT
146,BelleLake.Craig.1973,lcReTFbaq43q2tAk98p,5720,160,6,2070,0.422,0.31,206.72,FALSE,lcRP40IPYUbtNZuOBN8
